title,country,location,date,url,skills,sectors
Comptable Senior,Maroc,Casablanca,27/09/2021,/offre-emploi-comptable-senior-recrutement-attijariwafa-bank-casablanca-127534.html,"['KS1267F6MSPN366LX7ST', 'KS1203W702ND09XHKJR5', 'KS120WT63K4HC6NX7QXV', 'KS120GV5ZXR64CJLL1J4', 'KS123Y66DNRSJ1QGK9NW']",Banque / Finance
Conseiller Fiscal,Maroc,Casablanca,27/09/2021,/offre-emploi-conseiller-fiscal-recrutement-attijariwafa-bank-casablanca-127498.html,"['KS1267F6MSPN366LX7ST', 'KS1203W702ND09XHKJR5', 'KS120WT63K4HC6NX7QXV', 'KS120GV5ZXR64CJLL1J4', 'KS123Y66DNRSJ1QGK9NW']",Banque / Finance
Développeur Java JEE Confirmé,Maroc,Casablanca,27/09/2021,/offre-emploi-developpeur-java-jee-confirme-recrutement-attijariwafa-bank-casablanca-129370.html,"['KS121F45VPV8C9W3QFYH', 'KS1226Y6DNDT05G7FJ4J', 'KS1214R5XG4X4PY7LGY6', 'KS125716TLTGH6SDHJD1', 'KS4425C7820LCHZS7VGX', 'KS3E28XYXKPCJ26V4O1D', 'KS1200578T5QCYT0Z98G', 'KS125TB6YR6236RKM563', 'KS125LJ6SDQF89N2J4ZP', 'KS120WT63K4HC6NX7QXV', 'KS120BC6BLYD8GXK5DSW', 'KS1200771D9CR9LB4MWW', 'KS7G6XM6NHD5NMYBXMHK', 'KS1282N6NQMZ95M1HJ7L']",Banque / Finance
Ingénieur d'Essais Automobiles F/H,Maroc,Oued-Zem,27/09/2021,/offre-emploi-ingenieur-dessais-automobiles-fh-recrutement-utac-ceram-maroc-oued-zem-129369.html,"['KS123K75YYK8VGH90NCS', 'KS126H56LT9GNSVJTMQ5', 'KS120TB5XW4YS78D2ZM5', 'KS1243976G466GV63ZBY', 'KS124206N7YNCH0D379T', 'ES76EAFFCB7FAE2C51CD', 'KS120626HMWCXJWJC7VK']",Automobile / Motos / Cycles
Développeur .NET / .NET CORE,Maroc,Casablanca,27/09/2021,/offre-emploi-developpeur-.net-.net-core-recrutement-akka-technologies-casablanca-129368.html,"['KS122PG64BT2BT6X15HF', 'KS1218W78FGVPVP2KXPX', 'ESD3D2440C1EA13521F1', 'KS127D66PGZVFX2XK2N6', 'KSJF3PBD3995K6E0OF1Z', 'KSIWWZAII4AP33SDVZ2H', 'KS440SJ73G5RZYMLVKV7', 'KS120B874P2P6BK1MQ0T', 'KS120026VL50QFWT2281', 'KSJZBX5H3PQ74JFOI21M', 'KS441RN66YM8DQW098RD', 'KS127115XWT6H93XPX4X', 'KS124Q3726PHM9JNS05D', 'KS1219N6Z3XQ19V0HSKR', 'KS126PF6PJY1N0ZX5R0P']",Conseil / Etudes
Contrôleur financier - Stage,Maroc,Rabat,27/09/2021,/offre-emploi-controleur-financier---stage-recrutement-webhelp-maroc-rabat-128461.html,"['KS122556LMQ829GZCCRV', 'KS1243976G466GV63ZBY', 'KS123MC78KV644P5DDZ0', 'KS126416RF9SW70SJ03L']",Comptabilité / Audit
Technicien Support Informatique Mac OS Franco-Anglophone,Maroc,Agadir,27/09/2021,/offre-emploi-technicien-support-informatique-mac-os-franco-anglophone-recrutement-webhelp-maroc-agadir-127597.html,"['KS123K75YYK8VGH90NCS', 'KS1227V6WBR3BH3SJYSZ', 'KS125F678LV2KB3Z5XW0', 'ES95B6F9FEB492CE923D', 'KS1243976G466GV63ZBY', 'KS122716P0Q9TPWQFJH3', 'KS122VW78Q67XR4C3ZDW', 'KS125C05ZSYGWN3V1DXK', 'KS124M967BN188YT05LZ', 'KS1206N6CM1YXK7R45CT', 'KS1254M6C3Q74939KFT8']",Informatique
Chef de Projet Formation Franco-anglophone pour la Business Unit Travel,Maroc,Marrakech,27/09/2021,/offre-emploi-chef-de-projet-formation-franco-anglophone-pour-la-business-unit-travel-recrutement-webhelp-maroc-marrakech-127444.html,"['KS123K75YYK8VGH90NCS', 'KS1218W78FGVPVP2KXPX', 'KS122BL6107G2Z27JWJW', 'KS124GF6T8S0VS45NMJY', 'KS7G2KG6P6WLHSQQMDLS', 'KS1243976G466GV63ZBY', 'KS1280B68GD79P4WMVYW', 'ES8B867675B7DA42B6CF', 'KS12067602WL3TMWSGT2', 'KS124CV79DFHP5MW6MQ2', 'KS124VL6RVRF0BZ2B1Y1', 'KS1247F792WRM86T6P3H', 'KS122HK6LN2MZHFY69GJ']",Tourisme / Voyage / Loisirs 
Chargé(e) de Recrutement Franco-anglophone des Conseillers Clients,Maroc,Marrakech,27/09/2021,/offre-emploi-chargee-de-recrutement-franco-anglophone-des-conseillers-clients-recrutement-webhelp-maroc-marrakech-127855.html,"['KS123K75YYK8VGH90NCS', 'KS1205H6HZDXGDV2R0QZ', 'KS1243976G466GV63ZBY', 'KS127NZ5X6TGTX8P6G57', 'KS1281M7573BG4S5QKMT']",Centre d'appel
Technicien Informatique Site,Maroc,Rabat,27/09/2021,/offre-emploi-technicien-informatique-site-recrutement-webhelp-maroc-rabat-127888.html,"['KS121CX75Q8F638ZCJVZ', 'KS441NN7513Q34LNMWSQ', 'KS122CB6Q88SGJ14VL6X', 'KS1226Y6DNDT05G7FJ4J', 'KS440Q1695HNGHGP6T45', 'KS7G2KG6P6WLHSQQMDLS', 'KS1257Q78YZ35DBKTXCQ', 'KS1227F76Q36LXJTZTK1', 'KS122716P0Q9TPWQFJH3', 'KS127D361PF0FTXDZ7C4', 'KS127CN6JB51G92VM1FW']",Informatique
