preferred_label,cluster_status,label_cluster_0,label_cluster_1,label_cluster_2,skill_id
tend heated-air tower,,,,,384
develop event topics,,,,,385
mechanical forging press parts,,,,,386
national population census,,,,,387
identify physical characteristics of performer,assigned,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,388
manufacture textile floor coverings,,,,,389
tend tunnel kiln,,,,,390
operate follow spots,,,,,391
environmental policy,clustered,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Workplace Safety Management,392
monitor conditions affecting train movement,,,,,393
cooperate with colleagues,clustered,Transversal skills,General Workplace Skills,General Workplace Skills,394
market trends in sporting equipment,,,,,395
focus on passengers,,,,,396
accounting department processes,assigned,"Business Administration, Finance & Law",Finance & Law,Accounting,397
perform business research,manually_reassigned,Sales & Communication,Communication,Marketing,398
recognise fake goods,,,,,399
organise participation in international events,assigned,Sales & Communication,Communication,Public Relations,400
differentiate between maxillofacial tissues,,,,,401
tend swaging machine,,,,,402
draw off wash water,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Electrical, Heating & Ventilation Installation",403
clinical reports,clustered,"Healthcare, Social Work & Research",Healthcare,Public Health Administration,404
WizIQ,,,,,405
communicate with waste treatment facilities,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Automotive Maintenance & Waste Management,406
administer ICT system,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Workplace Safety Management,407
prepare leather goods samples,,,,,408
understand written Spanish,,,,,409
understand the physical language of a live performance,,,,,410
measure chemical substance viscosity,,,,,411
perform pest control,,,,,412
represent artistic production,,,,,413
prepare site for construction,,,,,414
stimulate students' independence,,,,,415
provide rigging plans,,,,,416
restrain individuals,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Electrical Engineering,417
follow water supply schedule,,,,,418
teach principles of literature,,,,,419
help clients make decisions during counselling sessions,,,,,420
integrate strategic foundation in daily performance,,,,,421
warehouse operations,manually_reassigned,Sales & Communication,"Procurement, Logistics & Trade",Transport & Logistics,422
lay marquetry,,,,,423
ensure compliance with environmental legislation,,,,,424
aid archive users with their enquiries,,,,,425
mount photovoltaic panels,,,,,426
repair firearms,,,,,427
prepare vehicle trim,,,,,428
kosher slaughtering practices,,,,,429
quality prototype of a tobacco leaf,,,,,430
advise customers on preparation of meat products,,,,,431
calculate aircraft weight,,,,,432
test medical devices,assigned,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,433
distribute local information materials,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,434
collaborate with animal related professionals,,,,,435
optical equipment standards,,,,,436
livestock reproduction,,,,,437
manage feedback,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,438
smoke cigars,,,,,439
be a role model in community arts,,,,,440
produce statistical financial records,,,,,441
understand written Armenian,,,,,442
calculate materials,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,443
combine business technology with user experience,assigned,Sales & Communication,Communication,Multimedia & Product Design,444
provide periodontal treatment,,,,,445
prepare roofing materials,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Construction,446
preventive medicine,assigned,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,447
plan marketing strategy,,,,,448
labour legislation,clustered,"Business Administration, Finance & Law",Business Administration,Human Resources,449
respond to individuals' extreme emotions,,,,,450
promote political campaign,,,,,451
maintain a production book,,,,,452
test pyrotechnical effects,,,,,453
develop new food products,,,,,454
swaging machine types,,,,,455
public service concession,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,456
buttonholing,,,,,457
prepare railway technical studies,,,,,458
delegate emergency care,,,,,459
acoustical engineering,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,460
prescribe psychotherapeutic treatment,,,,,461
prepare ground for construction,,,,,462
conduct engineering site audits,,,,,463
manage studio resourcing,,,,,464
assist guest departure,,,,,465
digital printing,manually_reassigned,Sales & Communication,Communication,Multimedia & Product Design,466
osteology,,,,,467
assist with geophysical surveys,,,,,468
provide legal advice on investments,,,,,469
create import-export commercial documentation,assigned,Sales & Communication,"Procurement, Logistics & Trade",International Trade,470
set production KPI,assigned,Sales & Communication,Communication,Marketing,471
renal diseases,clustered,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,472
prepare audit activities,manually_reassigned,"Business Administration, Finance & Law",Finance & Law,Financial Services,473
types of sanders,,,,,474
conduct patch testing,assigned,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,475
provide high-end driving services,manually_reassigned,Sales & Communication,Customer Services & Sales,Customer Services,476
assemble tent constructions,,,,,477
types of waxes,,,,,478
educate on the prevention of illness,,,,,479
respect data protection principles,assigned,Information & Communication Technologies,Information & Communication Technologies,IT Support Services,480
mount photos,,,,,481
negotiate with key stakeholders in the automotive retail sector,,,,,482
distinguish accessories,,,,,483
tend almond huller machine,,,,,484
monitor visitor tours,assigned,"Business Administration, Finance & Law",Business Administration,Office Adminstration,485
tend wine manufacturing machines,,,,,486
manage storage tanks,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Electrical, Heating & Ventilation Installation",487
prevent domestic accidents,,,,,488
navy operations,,,,,489
carry out railway accident investigations,,,,,490
investigate animal related incidents,,,,,491
animal acquisition,,,,,492
prepare speeches,,,,,493
Cain and Abel (penetration testing tool),,,,,494
encourage healthy behaviours,,,,,495
provide social counselling,,,,,496
supervise motor vehicles manufacture,,,,,497
prepare main engines for navigation operations,,,,,498
food plant design,,,,,499
cleaning industry health and safety measures,,,,,500
interact with others,clustered,Transversal skills,General Workplace Skills,General Workplace Skills,501
radiation effects on human body,,,,,502
impart training on general quality management supervision,,,,,503
use laser therapy for skin conditions,,,,,504
execute advertising measures for the vehicles,,,,,505
assist in the organisation of school events,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,506
systems development life-cycle,manually_reassigned,"Business Administration, Finance & Law",Business Administration,Business & Project Management,507
transportation software related to an ERP system,assigned,Sales & Communication,"Procurement, Logistics & Trade",Procurement,508
work on uneven surfaces,,,,,509
measure density of liquids,,,,,510
operate automated process control,,,,,511
support social service users at the end of life,assigned,"Healthcare, Social Work & Research",Care & Social Work,Care & Social Work,512
manage ICT change request process,,,,,513
lay base courses,,,,,514
visual flight rules,assigned,"Business Administration, Finance & Law",Finance & Law,Financial Services,515
inspect aircraft manufacturing,,,,,516
write Javanese,,,,,517
undertake procedures to meet helicopter flight requirements,,,,,518
oversee warehouse value-added activities,,,,,519
use interface description language,,,,,520
operate brick oven,,,,,521
write Bosnian,,,,,522
apply company policies,reassigned,"Business Administration, Finance & Law",Business Administration,Human Resources,523
business management principles,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Electrical Engineering,524
calculate insurance rate,assigned,"Business Administration, Finance & Law",Finance & Law,Financial Services,525
encourage staff in cleaning activities,,,,,526
develop urban transport studies,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,527
monitor security procedures in warehouse operations,,,,,528
use radar navigation,,,,,529
replace faucets,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Construction,530
test nitroglycerin mixture,,,,,531
prepare dental instruments for sterilization,,,,,532
foreign affairs policy development,,,,,533
send summons,,,,,534
Agile project management,clustered,"Business Administration, Finance & Law",Business Administration,Business & Project Management,535
carry out strategic research,manually_reassigned,"Business Administration, Finance & Law",Business Administration,Business & Project Management,536
select music for training,,,,,537
pharmaceutical legislation,manually_reassigned,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,538
monitor fish mortality rates,,,,,539
modern power signalling systems,,,,,540
network management system tools,assigned,"Healthcare, Social Work & Research",Care & Social Work,Care & Social Work,541
communicate regulations,,,,,542
operate mosaic tools,,,,,543
make an effort,clustered,Transversal skills,General Workplace Skills,General Workplace Skills,544
literature,assigned,Education,Education,Learning Support,545
perform liquid penetrant tests,,,,,546
conduct energy audit,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Electrical, Heating & Ventilation Installation",547
apply fish harvest methods,,,,,548
maintain plants' growth,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Horticulture, Animal Husbandry & Environment",549
